,BRANCH,ADDRESS,CITY,ZIP,YEAR,MONTH,CIRCULATION,MONTH_NUM
192,Altgeld,955 E. 131st St.,Chicago,60827.0,2022,JANUARY,150,1
193,Altgeld,955 E. 131st St.,Chicago,60827.0,2022,FEBRUARY,139,2
194,Altgeld,955 E. 131st St.,Chicago,60827.0,2022,MARCH,179,3
195,Altgeld,955 E. 131st St.,Chicago,60827.0,2022,APRIL,289,4
196,Altgeld,955 E. 131st St.,Chicago,60827.0,2022,MAY,297,5
197,Altgeld,955 E. 131st St.,Chicago,60827.0,2022,JUNE,198,6
198,Altgeld,955 E. 131st St.,Chicago,60827.0,2022,JULY,257,7
199,Altgeld,955 E. 131st St.,Chicago,60827.0,2022,AUGUST,229,8
200,Altgeld,955 E. 131st St.,Chicago,60827.0,2022,SEPTEMBER,314,9
201,Altgeld,955 E. 131st St.,Chicago,60827.0,2022,OCTOBER,223,10
202,Altgeld,955 E. 131st St.,Chicago,60827.0,2022,NOVEMBER,173,11
203,Altgeld,955 E. 131st St.,Chicago,60827.0,2022,DECEMBER,193,12
204,Altgeld,955 E. 131st St.,Chicago,60827.0,2023,JANUARY,115,1
205,Altgeld,955 E. 131st St.,Chicago,60827.0,2023,FEBRUARY,123,2
206,Altgeld,955 E. 131st St.,Chicago,60827.0,2023,MARCH,165,3
207,Altgeld,955 E. 131st St.,Chicago,60827.0,2023,APRIL,145,4
208,Altgeld,955 E. 131st St.,Chicago,60827.0,2023,MAY,153,5
209,Altgeld,955 E. 131st St.,Chicago,60827.0,2023,JUNE,135,6
210,Altgeld,955 E. 131st St.,Chicago,60827.0,2023,JULY,90,7
211,Altgeld,955 E. 131st St.,Chicago,60827.0,2023,AUGUST,99,8
212,Altgeld,955 E. 131st St.,Chicago,60827.0,2023,SEPTEMBER,109,9
213,Altgeld,955 E. 131st St.,Chicago,60827.0,2023,OCTOBER,176,10
214,Altgeld,955 E. 131st St.,Chicago,60827.0,2023,NOVEMBER,146,11
215,Altgeld,955 E. 131st St.,Chicago,60827.0,2023,DECEMBER,113,12
216,Altgeld,955 E. 131st St.,Chicago,60827.0,2024,JANUARY,140,1
217,Altgeld,955 E. 131st St.,Chicago,60827.0,2024,FEBRUARY,205,2
218,Altgeld,955 E. 131st St.,Chicago,60827.0,2024,MARCH,173,3
219,Altgeld,955 E. 131st St.,Chicago,60827.0,2024,APRIL,121,4
220,Altgeld,955 E. 131st St.,Chicago,60827.0,2024,MAY,185,5
221,Altgeld,955 E. 131st St.,Chicago,60827.0,2024,JUNE,241,6
222,Altgeld,955 E. 131st St.,Chicago,60827.0,2024,JULY,129,7
223,Altgeld,955 E. 131st St.,Chicago,60827.0,2024,AUGUST,324,8
224,Altgeld,955 E. 131st St.,Chicago,60827.0,2024,SEPTEMBER,319,9
225,Altgeld,955 E. 131st St.,Chicago,60827.0,2024,OCTOBER,260,10
226,Altgeld,955 E. 131st St.,Chicago,60827.0,2024,NOVEMBER,158,11
227,Altgeld,955 E. 131st St.,Chicago,60827.0,2024,DECEMBER,187,12
228,Altgeld,955 E. 131st St.,Chicago,60827.0,2025,JANUARY,120,1
229,Altgeld,955 E. 131st St.,Chicago,60827.0,2025,FEBRUARY,145,2
230,Altgeld,955 E. 131st St.,Chicago,60827.0,2025,MARCH,209,3
231,Altgeld,955 E. 131st St.,Chicago,60827.0,2025,APRIL,166,4
232,Altgeld,955 E. 131st St.,Chicago,60827.0,2025,MAY,173,5
233,Altgeld,955 E. 131st St.,Chicago,60827.0,2025,JUNE,146,6
234,Altgeld,955 E. 131st St.,Chicago,60827.0,2025,JULY,101,7
235,Altgeld,955 E. 131st St.,Chicago,60827.0,2025,AUGUST,133,8
236,Altgeld,955 E. 131st St.,Chicago,60827.0,2025,SEPTEMBER,147,9
237,Altgeld,955 E. 131st St.,Chicago,60827.0,2025,OCTOBER,188,10
238,Altgeld,955 E. 131st St.,Chicago,60827.0,2025,NOVEMBER,106,11
239,Altgeld,955 E. 131st St.,Chicago,60827.0,2025,DECEMBER,136,12
240,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2011,JANUARY,8104,1
241,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2011,FEBRUARY,6899,2
242,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2011,MARCH,9329,3
243,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2011,APRIL,9124,4
244,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2011,MAY,7472,5
245,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2011,JUNE,8314,6
246,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2011,JULY,8116,7
247,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2011,AUGUST,9177,8
248,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2011,SEPTEMBER,9033,9
249,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2011,OCTOBER,9709,10
250,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2011,NOVEMBER,8809,11
251,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2011,DECEMBER,7865,12
252,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2012,JANUARY,7855,1
253,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2012,FEBRUARY,7682,2
254,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2012,MARCH,8151,3
255,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2012,APRIL,7703,4
256,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2012,MAY,7704,5
257,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2012,JUNE,7294,6
258,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2012,JULY,7735,7
259,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2012,AUGUST,7886,8
260,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2012,SEPTEMBER,9076,9
261,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2012,OCTOBER,9679,10
262,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2012,NOVEMBER,8793,11
263,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2012,DECEMBER,7698,12
264,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2013,JANUARY,8747,1
265,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2013,FEBRUARY,7676,2
266,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2013,MARCH,8630,3
267,Archer Heights,5055 S. Archer Avenue,CHICAGO,60632.0,2013,APRIL,7910,4
