BRANCH,YEAR,VISITORS,CIRCULATION,COMPUTER SESSIONS,LAT,LON
Mount Greenwood,2021,18372.0,39068.0,4412.0,41.693015814018004,-87.70102477600602
Mount Greenwood,2022,24079.0,46056.0,6532.0,41.693015814018004,-87.70102477600602
Mount Greenwood,2023,25182.0,38282.0,5584.0,41.693015814018004,-87.70102477600602
Mount Greenwood,2024,28033.0,42861.0,5845.0,41.693015814018004,-87.70102477600602
Mount Greenwood,2025,46099.0,42196.0,6592.0,41.693015814018004,-87.70102477600602
Near North,2020,65148.0,72498.0,5811.0,41.90393142178499,-87.63660775555267
Near North,2021,75732.0,87488.0,7677.0,41.90393142178499,-87.63660775555267
Near North,2022,61030.0,46760.0,8507.0,41.90393142178499,-87.63660775555267
Near North,2023,101014.0,78261.0,15851.0,41.90393142178499,-87.63660775555267
Near North,2024,125991.0,84972.0,17491.0,41.90393142178499,-87.63660775555267
Near North,2025,123166.0,91029.0,23137.0,41.90393142178499,-87.63660775555267
North Austin,2020,17907.0,7093.0,6644.0,41.909444834238485,-87.76898326931509
North Austin,2021,16817.0,6584.0,5692.0,41.909444834238485,-87.76898326931509
North Austin,2022,19986.0,6732.0,7380.0,41.909444834238485,-87.76898326931509
North Austin,2023,21053.0,6221.0,7993.0,41.909444834238485,-87.76898326931509
North Austin,2024,22883.0,6267.0,7991.0,41.909444834238485,-87.76898326931509
North Austin,2025,35957.0,6230.0,10029.0,41.909444834238485,-87.76898326931509
North Pulaski,2020,19762.0,11265.0,4260.0,"41.90989766464456,-87.73376822625004""",
North Pulaski,2021,24593.0,11211.0,4596.0,"41.90989766464456,-87.73376822625004""",
North Pulaski,2022,28344.0,12675.0,6375.0,"41.90989766464456,-87.73376822625004""",
North Pulaski,2023,34308.0,15046.0,7178.0,"41.90989766464456,-87.73376822625004""",
North Pulaski,2024,37383.0,15260.0,7220.0,"41.90989766464456,-87.73376822625004""",
North Pulaski,2025,42977.0,17901.0,8230.0,"41.90989766464456,-87.73376822625004""",
Northtown,2020,74062.0,94797.0,12712.0,42.00507612272344,-87.69021903022175
Northtown,2021,89529.0,110226.0,14793.0,42.00507612272344,-87.69021903022175
Northtown,2022,84479.0,101188.0,18967.0,42.00507612272344,-87.69021903022175
Northtown,2023,88183.0,93382.0,19185.0,42.00507612272344,-87.69021903022175
Northtown,2024,97014.0,88759.0,19836.0,42.00507612272344,-87.69021903022175
Northtown,2025,103745.0,87255.0,19461.0,42.00507612272344,-87.69021903022175
Oriole Park,2020,38614.0,42683.0,4352.0,41.978098111742476,-87.81420029973704
Oriole Park,2021,49780.0,56191.0,5912.0,41.978098111742476,-87.81420029973704
Oriole Park,2022,54645.0,60991.0,7607.0,41.978098111742476,-87.81420029973704
Oriole Park,2023,62042.0,58068.0,7686.0,41.978098111742476,-87.81420029973704
Oriole Park,2024,69560.0,56139.0,7318.0,41.978098111742476,-87.81420029973704
Oriole Park,2025,72633.0,53449.0,10040.0,41.978098111742476,-87.81420029973704
Portage-Cragin,2020,35107.0,36262.0,7696.0,41.93883597361448,-87.75467117455794
Portage-Cragin,2021,34976.0,41154.0,9558.0,41.93883597361448,-87.75467117455794
Portage-Cragin,2022,46675.0,41531.0,10345.0,41.93883597361448,-87.75467117455794
Portage-Cragin,2023,64819.0,42410.0,10802.0,41.93883597361448,-87.75467117455794
Portage-Cragin,2024,66551.0,38874.0,10983.0,41.93883597361448,-87.75467117455794
Portage-Cragin,2025,55308.0,37832.0,12291.0,41.93883597361448,-87.75467117455794
Pullman,2020,17149.0,3368.0,4381.0,41.69436481773882,-87.6181414059763
Pullman,2021,25026.0,3952.0,6442.0,41.69436481773882,-87.6181414059763
Pullman,2022,34039.0,4118.0,9861.0,41.69436481773882,-87.6181414059763
Pullman,2023,43088.0,4747.0,11298.0,41.69436481773882,-87.6181414059763
Pullman,2024,49546.0,5939.0,11299.0,41.69436481773882,-87.6181414059763
Pullman,2025,42596.0,5559.0,12218.0,41.69436481773882,-87.6181414059763
Roden,2020,27951.0,37254.0,2580.0,41.99199760467718,-87.79820642998901
Roden,2021,39766.0,49569.0,3651.0,41.99199760467718,-87.79820642998901
Roden,2022,62510.0,55614.0,5020.0,41.99199760467718,-87.79820642998901
Roden,2023,86759.0,56178.0,5359.0,41.99199760467718,-87.79820642998901
Roden,2024,90371.0,55977.0,5480.0,41.99199760467718,-87.79820642998901
Roden,2025,58288.0,51489.0,6021.0,41.99199760467718,-87.79820642998901
Rogers Park,2020,75717.0,65574.0,10162.0,42.00682227244734,-87.67330813329413
Rogers Park,2021,75695.0,74911.0,12227.0,42.00682227244734,-87.67330813329413
Rogers Park,2022,99362.0,77588.0,17612.0,42.00682227244734,-87.67330813329413
Rogers Park,2023,114874.0,74409.0,17596.0,42.00682227244734,-87.67330813329413
Rogers Park,2024,134006.0,76879.0,18385.0,42.00682227244734,-87.67330813329413
Rogers Park,2025,129285.0,79153.0,20114.0,42.00682227244734,-87.67330813329413
Scottsdale,2020,24400.0,11650.0,3768.0,41.74928543110801,-87.72440869132882
Scottsdale,2021,37432.0,14181.0,5495.0,41.74928543110801,-87.72440869132882
Scottsdale,2022,37087.0,15151.0,6852.0,41.74928543110801,-87.72440869132882
Scottsdale,2023,40094.0,13206.0,7413.0,41.74928543110801,-87.72440869132882
Scottsdale,2024,41633.0,11087.0,7408.0,41.74928543110801,-87.72440869132882
Scottsdale,2025,38157.0,12296.0,7393.0,41.74928543110801,-87.72440869132882
Sherman Park,2020,18207.0,2675.0,3860.0,41.79476901885989,-87.65502837616037
Sherman Park,2021,18837.0,2318.0,3919.0,41.79476901885989,-87.65502837616037
Sherman Park,2022,17653.0,2857.0,6180.0,41.79476901885989,-87.65502837616037
Sherman Park,2023,15333.0,3440.0,9023.0,41.79476901885989,-87.65502837616037
Sherman Park,2024,15007.0,2608.0,8726.0,41.79476901885989,-87.65502837616037
Sherman Park,2025,29424.0,2685.0,7669.0,41.79476901885989,-87.65502837616037
South Chicago,2020,32499.0,7548.0,8067.0,41.73029771500594,-87.54972658730712
South Chicago,2021,31336.0,7696.0,8211.0,41.73029771500594,-87.54972658730712
South Chicago,2022,42990.0,8324.0,12791.0,41.73029771500594,-87.54972658730712
South Chicago,2023,40270.0,8608.0,13051.0,41.73029771500594,-87.54972658730712
South Chicago,2024,48240.0,7432.0,10630.0,41.73029771500594,-87.54972658730712
South Chicago,2025,51803.0,6349.0,11259.0,41.73029771500594,-87.54972658730712
South Shore,2020,5115.0,7780.0,6156.0,41.76254141905116,-87.56387694448408
South Shore,2021,17501.0,11406.0,11613.0,41.76254141905116,-87.56387694448408
South Shore,2022,20183.0,10647.0,13976.0,41.76254141905116,-87.56387694448408
South Shore,2023,29761.0,11032.0,16481.0,41.76254141905116,-87.56387694448408
South Shore,2024,33984.0,12263.0,18865.0,41.76254141905116,-87.56387694448408
South Shore,2025,53287.0,11174.0,19694.0,41.76254141905116,-87.56387694448408
Sulzer Regional Library,2020,165519.0,226464.0,27772.0,41.962966859427524,-87.68469465366664
Sulzer Regional Library,2021,175377.0,281183.0,22938.0,41.962966859427524,-87.68469465366664
Sulzer Regional Library,2022,214847.0,301340.0,33478.0,41.962966859427524,-87.68469465366664
Sulzer Regional Library,2023,255294.0,303416.0,35950.0,41.962966859427524,-87.68469465366664
Sulzer Regional Library,2024,302263.0,311851.0,30728.0,41.962966859427524,-87.68469465366664
Sulzer Regional Library,2025,310522.0,321495.0,37779.0,41.962966859427524,-87.68469465366664
